First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Mass Per Metre (kg/m),Depth of Section [h] (mm),Width of Section [b] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r] (mm),Depth between Fillets [d] (mm),Ratio for Local Web Buckling (cw/tw),Ratio for Local Flange Buckling (ct/tf),Dimension for Detailing End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area Per Metre [m2],Surface Area Per Tonne [m2],Second Moment of Area [Axis y-y] (cm4),Second Moment of Area [Axis z-z] (cm4),Radius of Gyration [Axis y-y] (cm),Radius of Gyration [Axis z-z] (cm),Elastic Modulus [Axis y-y] (cm3),Elastic Modulus [Axis z-z (cm3),Plastic Modulus [Axis y-y] (cm3),Plastic Modulus [Axis z-z (cm3),Buckling Parameter [U],Torsional Index [X],Wraping Constant [Iw] (dm6),Torsional Constant [IT] (cm4),Area of Section [A] (cm2)
356,406,551,356 x 406,356 x 406 x 551,551.0,455.6,418.5,42.1,67.5,15.2,290.2,6.89,2.56,23,200,84,2.47,4.48,227000,82700,18.0,10.9,9960,3950,12100,6060,0.842,6.05,31.1,9240,702
356,406,509,356 x 406,356 x 406 x 509,509.0,446.0,416.0,39.1,62.7,15.0,290.0,7.42,2.77,22,200,78,310.0,609.0,204000,75400,17.8,10.8,9170,3620,11000,5550,0.840,6.42,27.6,7390,649
356,406,467,356 x 406,356 x 406 x 467,467.0,436.6,412.2,35.8,58.0,15.2,290.2,8.11,2.98,20,200,74,2.42,5.18,183000,67800,17.5,10.7,8380,3290,10000,5030,0.839,6.85,24.3,5810,595
356,406,393,356 x 406,356 x 406 x 393,393.0,419.0,407.0,30.6,49.2,15.2,290.2,9.48,3.52,17,200,66,2.38,6.06,147000,55400,17.1,10.5,7000,2720,8220,4150,0.837,7.85,18.9,3550,501
356,406,340,356 x 406,356 x 406 x 340,339.9,406.4,403.0,26.6,42.9,15.2,290.2,10.9,4.03,15,200,60,2.35,6.91,123000,46900,16.8,10.4,6030,2330,7000,3540,0.836,8.85,15.5,2340,433
356,406,287,356 x 406,356 x 406 x 287,287.1,393.6,399.0,22.6,36.5,15.2,290.2,12.8,4.74,13,200,52,2.31,8.05,99900,38700,16.5,10.3,5070,1940,5810,2950,0.835,10.2,12.3,1440,366
356,406,235,356 x 406,356 x 406 x 235,235.1,381.0,394.8,18.4,30.2,15.2,290.2,15.8,5.73,11,200,46,2.28,9.70,79100,31000,16.3,10.2,4150,1570,4690,2380,0.835,12.0,9.54,812,299
356,368,202,356 x 368,356 x 368 x 202,201.9,374.6,374.7,16.5,27.0,15.2,290.2,17.6,6.07,10,190,44,2.19,10.8,66300,23700,16.1,9.60,3540,1260,3970,1920,0.844,13.3,7.16,558,257
356,368,177,356 x 368,356 x 368 x 177,177.0,368.2,372.6,14.4,23.8,15.2,290.2,20.2,6.89,9,190,40,2.17,12.3,57100,20500,15.9,9.54,3100,1100,3460,1670,0.843,15.0,6.09,381,226
356,368,153,356 x 368,356 x 368 x 153,152.9,362.0,370.5,12.3,20.7,15.2,290.2,23.6,7.92,8,190,36,2.16,14.1,48600,17600,15.8,9.49,2680,948,2960,1430,0.843,17.0,5.11,251,195
356,368,129,356 x 368,356 x 368 x 129,129.0,355.6,368.6,10.4,17.5,15.2,290.2,27.9,9.37,7,190,34,2.14,16.6,40200,14600,15.6,9.43,2260,793,2480,1200,0.845,19.8,4.18,153,164
