First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
914,305,576,914 x 305,914 x 305 x 576,0,0,0,0,0,0,576.0,0,993.0,322.0,0,36.1,65.0,19.0,0,824.8,0,22.8,1.91,0,0,0,20,154,86,3.46,6.00,1102000,36500,0,0,38.8,7.06,0,0,22200,2270,0,0,0,26300,3660,0,0.874,16.8,77.9,0,7130,0,0,0,0,0,0,733
914,305,521,914 x 305,914 x 305 x 521,0,0,0,0,0,0,521.0,0,981.0,319.0,0,33.0,58.9,19.0,0,824.8,0,25.0,2.11,0,0,0,19,154,80,3.17,6.08,982000,32100,0,0,38.5,6.96,0,0,20000,2020,0,0,0,23600,3240,0,0.873,18.3,67.7,0,5340,0,0,0,0,0,0,664
914,305,474,914 x 305,914 x 305 x 474,0,0,0,0,0,0,474.0,0,971.0,316.0,0,30.0,54.1,19.0,0,824.8,0,27.5,2.29,0,0,0,17,154,74,3.14,6.62,886000,28700,0,0,38.3,6.89,0,0,18200,1810,0,0,0,21400,2900,0,0.873,19.8,59.8,0,4100,0,0,0,0,0,0,604
914,305,425,914 x 305,914 x 305 x 425,0,0,0,0,0,0,425.0,0,961.0,313.0,0,26.9,49.0,19.0,0,824.8,0,30.7,2.53,0,0,0,15,154,70,3.11,7.32,788000,25200,0,0,38.1,6.82,0,0,16400,1610,0,0,0,19100,2560,0,0.874,21.8,52.1,0,3030,0,0,0,0,0,0,542
914,305,381,914 x 305,914 x 305 x 381,0,0,0,0,0,0,381.0,0,951.0,310.0,0,24.4,43.9,19.0,0,824.8,0,33.8,2.82,0,0,0,14,154,64,3.09,8.11,697000,21900,0,0,37.9,6.72,0,0,14600,1410,0,0,0,17000,2240,0,0.873,24.1,44.8,0,2200,0,0,0,0,0,0,486
914,305,345,914 x 305,914 x 305 x 345,0,0,0,0,0,0,345.0,0,943.0,308.0,0,22.1,39.9,19.0,0,824.8,0,37.3,3.11,0,0,0,13,154,60,3.06,8.87,626000,19500,0,0,37.7,6.66,0,0,13300,1270,0,0,0,15400,2000,0,0.873,26.3,39.6,0,1650,0,0,0,0,0,0,440
914,305,313,914 x 305,914 x 305 x 313,0,0,0,0,0,0,313.0,0,932.0,309.0,0,21.1,34.5,19.0,0,824.8,0,39.1,3.62,0,0,0,13,154,54,3.04,9.71,548000,17000,0,0,37.1,6.54,0,0,11800,1100,0,0,0,13600,1750,0,0.867,29.7,34.2,0,1160,0,0,0,0,0,0,398
914,305,289,914 x 305,914 x 305 x 289,0,0,0,0,0,0,289.1,0,926.6,307.7,0,19.5,32.0,19.1,0,824.4,0,42.3,3.91,0,0,0,12,156,52,3.01,10.4,504000,15600,0,0,37.0,6.51,0,0,10900,1010,0,0,0,12600,1600,0,0.868,31.9,31.2,0,926,0,0,0,0,0,0,368
914,305,271,914 x 305,914 x 305 x 271,0,0,0,0,0,0,271.0,0,923.0,307.0,0,18.4,30.0,19.0,0,824.8,0,44.8,4.18,0,0,0,11,156,50,3.01,11.1,472000,14500,0,0,36.9,6.48,0,0,10200,946,0,0,0,11800,1490,0,0.867,33.8,28.8,0,769,0,0,0,0,0,0,346
914,305,253,914 x 305,914 x 305 x 253,0,0,0,0,0,0,253.4,0,918.4,305.5,0,17.3,27.9,19.1,0,824.4,0,47.7,4.48,0,0,0,11,156,48,2.99,11.8,436000,13300,0,0,36.8,6.42,0,0,9500,871,0,0,0,10900,1370,0,0.864,36.2,26.4,0,626,0,0,0,0,0,0,323
