First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
33.7,3.6,N/A,33.7,33.7 x 3.6,N/A,N/A,2.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,39.7,3.91,3.91,N/A,N/A,1.07,1.07,N/A,N/A,2.32,2.32,N/A,N/A,N/A,3.28,3.28,N/A,N/A,N/A,N/A,N/A,7.82,4.64,N/A,N/A,N/A,N/A,N/A,3.40
33.7,4.0,N/A,33.7,33.7 x 4.0,N/A,N/A,2.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,36.2,4.19,4.19,N/A,N/A,1.06,1.06,N/A,N/A,2.49,2.49,N/A,N/A,N/A,3.55,3.55,N/A,N/A,N/A,N/A,N/A,8.38,4.97,N/A,N/A,N/A,N/A,N/A,3.73
33.7,4.5,N/A,33.7,33.7 x 4.5,N/A,N/A,3.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.106,32.7,4.50,4.50,N/A,N/A,1.04,1.04,N/A,N/A,2.67,2.67,N/A,N/A,N/A,3.87,3.87,N/A,N/A,N/A,N/A,N/A,9.01,5.35,N/A,N/A,N/A,N/A,N/A,4.13
42.4,2.6,N/A,42.4,42.4 x 2.6,N/A,N/A,2.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,52.2,6.46,6.46,N/A,N/A,1.41,1.41,N/A,N/A,3.05,3.05,N/A,N/A,N/A,4.12,4.12,N/A,N/A,N/A,N/A,N/A,12.9,6.10,N/A,N/A,N/A,N/A,N/A,3.25
42.4,2.9,N/A,42.4,42.4 x 2.9,N/A,N/A,2.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,47.2,7.06,7.06,N/A,N/A,1.40,1.40,N/A,N/A,3.33,3.33,N/A,N/A,N/A,4.53,4.53,N/A,N/A,N/A,N/A,N/A,14.1,6.66,N/A,N/A,N/A,N/A,N/A,3.60
42.4,3.2,N/A,42.4,42.4 x 3.2,N/A,N/A,3.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,43.0,7.62,7.62,N/A,N/A,1.39,1.39,N/A,N/A,3.59,3.59,N/A,N/A,N/A,4.93,4.93,N/A,N/A,N/A,N/A,N/A,15.2,7.19,N/A,N/A,N/A,N/A,N/A,3.94
42.4,3.6,N/A,42.4,42.4 x 3.6,N/A,N/A,3.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,38.7,8.33,8.33,N/A,N/A,1.38,1.38,N/A,N/A,3.93,3.93,N/A,N/A,N/A,5.44,5.44,N/A,N/A,N/A,N/A,N/A,16.7,7.86,N/A,N/A,N/A,N/A,N/A,4.39
42.4,4.0,N/A,42.4,42.4 x 4.0,N/A,N/A,3.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,35.1,8.99,8.99,N/A,N/A,1.36,1.36,N/A,N/A,4.24,4.24,N/A,N/A,N/A,5.92,5.92,N/A,N/A,N/A,N/A,N/A,18.0,8.48,N/A,N/A,N/A,N/A,N/A,4.83
42.4,4.5,N/A,42.4,42.4 x 4.5,N/A,N/A,4.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.133,31.6,9.76,9.76,N/A,N/A,1.35,1.35,N/A,N/A,4.60,4.60,N/A,N/A,N/A,6.49,6.49,N/A,N/A,N/A,N/A,N/A,19.5,9.20,N/A,N/A,N/A,N/A,N/A,5.36
48.3,2.6,N/A,48.3,48.3 x 2.6,N/A,N/A,2.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,51.9,9.78,9.78,N/A,N/A,1.62,1.62,N/A,N/A,4.05,4.05,N/A,N/A,N/A,5.44,5.44,N/A,N/A,N/A,N/A,N/A,19.6,8.10,N/A,N/A,N/A,N/A,N/A,3.73
48.3,2.9,N/A,48.3,48.3 x 2.9,N/A,N/A,3.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,46.8,10.7,10.7,N/A,N/A,1.61,1.61,N/A,N/A,4.43,4.43,N/A,N/A,N/A,5.99,5.99,N/A,N/A,N/A,N/A,N/A,21.4,8.86,N/A,N/A,N/A,N/A,N/A,4.14
48.3,3.2,N/A,48.3,48.3 x 3.2,N/A,N/A,3.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,42.7,11.6,11.6,N/A,N/A,1.60,1.60,N/A,N/A,4.80,4.80,N/A,N/A,N/A,6.52,6.52,N/A,N/A,N/A,N/A,N/A,23.2,9.59,N/A,N/A,N/A,N/A,N/A,4.53
48.3,3.6,N/A,48.3,48.3 x 3.6,N/A,N/A,3.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,38.3,12.7,12.7,N/A,N/A,1.59,1.59,N/A,N/A,5.26,5.26,N/A,N/A,N/A,7.21,7.21,N/A,N/A,N/A,N/A,N/A,25.4,10.5,N/A,N/A,N/A,N/A,N/A,5.06
48.3,4.0,N/A,48.3,48.3 x 4.0,N/A,N/A,4.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,34.8,13.8,13.8,N/A,N/A,1.57,1.57,N/A,N/A,5.70,5.70,N/A,N/A,N/A,7.87,7.87,N/A,N/A,N/A,N/A,N/A,27.5,11.4,N/A,N/A,N/A,N/A,N/A,5.57
48.3,4.5,N/A,48.3,48.3 x 4.5,N/A,N/A,4.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,31.3,15.0,15.0,N/A,N/A,1.56,1.56,N/A,N/A,6.21,6.21,N/A,N/A,N/A,8.66,8.66,N/A,N/A,N/A,N/A,N/A,30.0,12.4,N/A,N/A,N/A,N/A,N/A,6.19
48.3,5.0,N/A,48.3,48.3 x 5.0,N/A,N/A,5.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,28.5,16.2,16.2,N/A,N/A,1.54,1.54,N/A,N/A,6.69,6.69,N/A,N/A,N/A,9.42,9.42,N/A,N/A,N/A,N/A,N/A,32.3,13.4,N/A,N/A,N/A,N/A,N/A,6.80
48.3,5.6,N/A,48.3,48.3 x 5.6,N/A,N/A,5.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,25.8,17.4,17.4,N/A,N/A,1.52,1.52,N/A,N/A,7.21,7.21,N/A,N/A,N/A,10.3,10.3,N/A,N/A,N/A,N/A,N/A,34.8,14.4,N/A,N/A,N/A,N/A,N/A,7.51
48.3,6.3,N/A,48.3,48.3 x 6.3,N/A,N/A,6.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.152,23.3,18.7,18.7,N/A,N/A,1.50,1.50,N/A,N/A,7.76,7.76,N/A,N/A,N/A,11.2,11.2,N/A,N/A,N/A,N/A,N/A,37.5,15.5,N/A,N/A,N/A,N/A,N/A,8.31
60.3,2.6,N/A,60.3,60.3 x 2.6,N/A,N/A,3.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,51.1,19.7,19.7,N/A,N/A,2.04,2.04,N/A,N/A,6.52,6.52,N/A,N/A,N/A,8.66,8.66,N/A,N/A,N/A,N/A,N/A,39.3,13.0,N/A,N/A,N/A,N/A,N/A,4.71
60.3,2.9,N/A,60.3,60.3 x 2.9,N/A,N/A,4.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,46.0,21.6,21.6,N/A,N/A,2.03,2.03,N/A,N/A,7.16,7.16,N/A,N/A,N/A,9.56,9.56,N/A,N/A,N/A,N/A,N/A,43.2,14.3,N/A,N/A,N/A,N/A,N/A,5.23
60.3,3.2,N/A,60.3,60.3 x 3.2,N/A,N/A,4.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,41.9,23.5,23.5,N/A,N/A,2.02,2.02,N/A,N/A,7.78,7.78,N/A,N/A,N/A,10.4,10.4,N/A,N/A,N/A,N/A,N/A,46.9,15.6,N/A,N/A,N/A,N/A,N/A,5.74
60.3,3.6,N/A,60.3,60.3 x 3.6,N/A,N/A,5.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,37.6,25.9,25.9,N/A,N/A,2.01,2.01,N/A,N/A,8.58,8.58,N/A,N/A,N/A,11.6,11.6,N/A,N/A,N/A,N/A,N/A,51.7,17.2,N/A,N/A,N/A,N/A,N/A,6.41
60.3,4.0,N/A,60.3,60.3 x 4.0,N/A,N/A,5.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,34.1,28.2,28.2,N/A,N/A,2.00,2.00,N/A,N/A,9.34,9.34,N/A,N/A,N/A,12.7,12.7,N/A,N/A,N/A,N/A,N/A,56.3,18.7,N/A,N/A,N/A,N/A,N/A,7.07
60.3,4.5,N/A,60.3,60.3 x 4.5,N/A,N/A,6.19,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,30.5,30.9,30.9,N/A,N/A,1.98,1.98,N/A,N/A,10.2,10.2,N/A,N/A,N/A,14.0,14.0,N/A,N/A,N/A,N/A,N/A,61.8,20.5,N/A,N/A,N/A,N/A,N/A,7.89
60.3,5.0,N/A,60.3,60.3 x 5.0,N/A,N/A,6.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,27.7,33.5,33.5,N/A,N/A,1.96,1.96,N/A,N/A,11.1,11.1,N/A,N/A,N/A,15.3,15.3,N/A,N/A,N/A,N/A,N/A,67.0,22.2,N/A,N/A,N/A,N/A,N/A,8.69
60.3,5.6,N/A,60.3,60.3 x 5.6,N/A,N/A,7.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,25.0,36.4,36.4,N/A,N/A,1.94,1.94,N/A,N/A,12.1,12.1,N/A,N/A,N/A,16.8,16.8,N/A,N/A,N/A,N/A,N/A,72.7,24.1,N/A,N/A,N/A,N/A,N/A,9.62
60.3,6.3,N/A,60.3,60.3 x 6.3,N/A,N/A,8.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,22.5,39.5,39.5,N/A,N/A,1.92,1.92,N/A,N/A,13.1,13.1,N/A,N/A,N/A,18.5,18.5,N/A,N/A,N/A,N/A,N/A,79.0,26.2,N/A,N/A,N/A,N/A,N/A,10.7
60.3,7.1,N/A,60.3,60.3 x 7.1,N/A,N/A,9.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,20.3,42.7,42.7,N/A,N/A,1.90,1.90,N/A,N/A,14.2,14.2,N/A,N/A,N/A,20.2,20.2,N/A,N/A,N/A,N/A,N/A,85.5,28.3,N/A,N/A,N/A,N/A,N/A,11.9
60.3,8.0,N/A,60.3,60.3 x 8.0,N/A,N/A,10.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.189,18.3,46.0,46.0,N/A,N/A,1.87,1.87,N/A,N/A,15.3,15.3,N/A,N/A,N/A,22.1,22.1,N/A,N/A,N/A,N/A,N/A,92.0,30.5,N/A,N/A,N/A,N/A,N/A,13.1
76.1,2.9,N/A,76.1,76.1 x 2.9,N/A,N/A,5.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,45.6,44.7,44.7,N/A,N/A,2.59,2.59,N/A,N/A,11.8,11.8,N/A,N/A,N/A,15.5,15.5,N/A,N/A,N/A,N/A,N/A,89.5,23.5,N/A,N/A,N/A,N/A,N/A,6.67
76.1,3.2,N/A,76.1,76.1 x 3.2,N/A,N/A,5.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,41.6,48.8,48.8,N/A,N/A,2.58,2.58,N/A,N/A,12.8,12.8,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,97.6,25.6,N/A,N/A,N/A,N/A,N/A,7.33
76.1,3.6,N/A,76.1,76.1 x 3.6,N/A,N/A,6.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,37.1,54.0,54.0,N/A,N/A,2.57,2.57,N/A,N/A,14.2,14.2,N/A,N/A,N/A,18.9,18.9,N/A,N/A,N/A,N/A,N/A,108,28.4,N/A,N/A,N/A,N/A,N/A,8.20
76.1,4.0,N/A,76.1,76.1 x 4.0,N/A,N/A,7.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,33.6,59.1,59.1,N/A,N/A,2.55,2.55,N/A,N/A,15.5,15.5,N/A,N/A,N/A,20.8,20.8,N/A,N/A,N/A,N/A,N/A,118,31.0,N/A,N/A,N/A,N/A,N/A,9.06
76.1,4.5,N/A,76.1,76.1 x 4.5,N/A,N/A,7.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,30.1,65.1,65.1,N/A,N/A,2.54,2.54,N/A,N/A,17.1,17.1,N/A,N/A,N/A,23.1,23.1,N/A,N/A,N/A,N/A,N/A,130,34.2,N/A,N/A,N/A,N/A,N/A,10.1
76.1,5.0,N/A,76.1,76.1 x 5.0,N/A,N/A,8.77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,27.3,70.9,70.9,N/A,N/A,2.52,2.52,N/A,N/A,18.6,18.6,N/A,N/A,N/A,25.3,25.3,N/A,N/A,N/A,N/A,N/A,142,37.3,N/A,N/A,N/A,N/A,N/A,11.2
76.1,5.6,N/A,76.1,76.1 x 5.6,N/A,N/A,9.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,24.5,77.5,77.5,N/A,N/A,2.50,2.50,N/A,N/A,20.4,20.4,N/A,N/A,N/A,27.9,27.9,N/A,N/A,N/A,N/A,N/A,155,40.8,N/A,N/A,N/A,N/A,N/A,12.4
76.1,6.3,N/A,76.1,76.1 x 6.3,N/A,N/A,10.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,22.1,84.8,84.8,N/A,N/A,2.48,2.48,N/A,N/A,22.3,22.3,N/A,N/A,N/A,30.8,30.8,N/A,N/A,N/A,N/A,N/A,170,44.6,N/A,N/A,N/A,N/A,N/A,13.8
76.1,7.1,N/A,76.1,76.1 x 7.1,N/A,N/A,12.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,19.8,92.6,92.6,N/A,N/A,2.45,2.45,N/A,N/A,24.3,24.3,N/A,N/A,N/A,33.9,33.9,N/A,N/A,N/A,N/A,N/A,185,48.7,N/A,N/A,N/A,N/A,N/A,15.4
76.1,8.0,N/A,76.1,76.1 x 8.0,N/A,N/A,13.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.239,17.8,101,101,N/A,N/A,2.42,2.42,N/A,N/A,26.4,26.4,N/A,N/A,N/A,37.3,37.3,N/A,N/A,N/A,N/A,N/A,201,52.9,N/A,N/A,N/A,N/A,N/A,17.1
88.9,3.2,N/A,88.9,88.9 x 3.2,N/A,N/A,6.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.279,41.3,79.2,79.2,N/A,N/A,3.03,3.03,N/A,N/A,17.8,17.8,N/A,N/A,N/A,23.5,23.5,N/A,N/A,N/A,N/A,N/A,158,35.6,N/A,N/A,N/A,N/A,N/A,8.62
