First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2],,,,,
356,406,393,356 x 406,356 x 406 x 393,0,0,0,0,0,0,393,0,419,407,0,30.6,49.2,15.2,0,290.2,0,9.48,3.52,0,0,0,17,200,66,2.38,6.06,147000,55400,0,0,17.1,10.5,0,0,7000,2720,0,0,0,8220,4150,0,0.837,7.85,18.9,0,3550,0,0,0,0,0,0,501,,,,,
356,406,340,356 x 406,356 x 406 x 340,0,0,0,0,0,0,339.9,0,406.4,403,0,26.6,42.9,15.2,0,290.2,0,10.9,4.03,0,0,0,15,200,60,2.35,6.91,123000,46900,0,0,16.8,10.4,0,0,6030,2330,0,0,0,7000,3540,0,0.836,8.85,15.5,0,2340,0,0,0,0,0,0,433,,,,,
356,406,287,356 x 406,356 x 406 x 287,0,0,0,0,0,0,287.1,0,393.6,399,0,22.6,36.5,15.2,0,290.2,0,12.8,4.74,0,0,0,13,200,52,2.31,8.05,99900,38700,0,0,16.5,10.3,0,0,5070,1940,0,0,0,5810,2950,0,0.835,10.2,12.3,0,1440,0,0,0,0,0,0,366,,,,,
356,406,235,356 x 406,356 x 406 x 235,0,0,0,0,0,0,235.1,0,381,394.8,0,18.4,30.2,15.2,0,290.2,0,15.8,5.73,0,0,0,11,200,46,2.28,9.7,79100,31000,0,0,16.3,10.2,0,0,4150,1570,0,0,0,4690,2380,0,0.835,12,9.54,0,812,0,0,0,0,0,0,299,,,,,
356,368,202,356 x 368,356 x 368 x 202,0,0,0,0,0,0,201.9,0,374.6,374.7,0,16.5,27,15.2,0,290.2,0,17.6,6.07,0,0,0,10,190,44,2.19,10.8,66300,23700,0,0,16.1,9.6,0,0,3540,1260,0,0,0,3970,1920,0,0.844,13.3,7.16,0,558,0,0,0,0,0,0,257,,,,,
356,368,177,356 x 368,356 x 368 x 177,0,0,0,0,0,0,177,0,368.2,372.6,0,14.4,23.8,15.2,0,290.2,0,20.2,6.89,0,0,0,9,190,40,2.17,12.3,57100,20500,0,0,15.9,9.54,0,0,3100,1100,0,0,0,3460,1670,0,0.843,15,6.09,0,381,0,0,0,0,0,0,226,,,,,
356,368,153,356 x 368,356 x 368 x 153,0,0,0,0,0,0,152.9,0,362,370.5,0,12.3,20.7,15.2,0,290.2,0,23.6,7.92,0,0,0,8,190,36,2.16,14.1,48600,17600,0,0,15.8,9.49,0,0,2680,948,0,0,0,2960,1430,0,0.843,17,5.11,0,251,0,0,0,0,0,0,195,,,,,
356,368,129,356 x 368,356 x 368 x 129,0,0,0,0,0,0,129,0,355.6,368.6,0,10.4,17.5,15.2,0,290.2,0,27.9,9.37,0,0,0,7,190,34,2.14,16.6,40200,14600,0,0,15.6,9.43,0,0,2260,793,0,0,0,2480,1200,0,0.845,19.8,4.18,0,153,0,0,0,0,0,0,164,,,,,
305,305,283,305 x 305,305 x 305 x 283,0,0,0,0,0,0,282.9,0,365.3,322.2,0,26.8,44.1,15.2,0,246.7,0,9.21,3,0,0,0,15,158,60,1.94,6.86,78900,24600,0,0,14.8,8.27,0,0,4320,1530,0,0,0,5110,2340,0,0.856,7.65,6.35,0,2030,0,0,0,0,0,0,360,,,,,
305,305,240,305 x 305,305 x 305 x 240,0,0,0,0,0,0,240,0,352.5,318.4,0,23,37.7,15.2,0,246.7,0,10.7,3.51,0,0,0,14,158,54,1.91,7.96,64200,20300,0,0,14.5,8.15,0,0,3640,1280,0,0,0,4250,1950,0,0.854,8.74,5.03,0,1270,0,0,0,0,0,0,306,,,,,
