First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
100,75,8.0,100 x 75,100 x 75 x 8.0,0,0,0,0,0,0,10.6,0,100,75,8.0,0,0,10.0,5.00,0,0,0,0,0,3.10,1.87,0,0,0,0,0,133,64.1,162,34.6,3.14,2.18,3.47,1.60,19.3,11.4,0,0,0,0,0,0.547,0,0,0,0,3.13,0,0,3.18,4.08,5.24,0,13.5
100,65,10.0,100 x 65,100 x 65 x 10.0,0,0,0,0,0,0,12.3,0,100,65,10.0,0,0,10.0,5.00,0,0,0,0,0,3.36,1.63,0,0,0,0,0,154,51.0,175,30.1,3.14,1.81,3.35,1.39,23.2,10.5,0,0,0,0,0,0.410,0,0,0,0,5.61,0,0,2.52,3.43,5.45,0,15.6
100,65,8.0,100 x 65,100 x 65 x 8.0,0,0,0,0,0,0,9.94,0,100,65,8.0,0,0,10.0,5.00,0,0,0,0,0,3.27,1.55,0,0,0,0,0,127,42.2,144,24.8,3.16,1.82,3.37,1.40,18.9,8.54,0,0,0,0,0,0.413,0,0,0,0,2.96,0,0,3.14,4.35,6.86,0,12.7
100,65,7.0,100 x 65,100 x 65 x 7.0,0,0,0,0,0,0,8.77,0,100,65,7.0,0,0,10.0,5.00,0,0,0,0,0,3.23,1.51,0,0,0,0,0,113,37.6,128,22.0,3.17,1.83,3.39,1.40,16.6,7.53,0,0,0,0,0,0.415,0,0,0,0,2.02,0,0,3.58,5.00,7.85,0,11.2
100,50,8.0,100 x 50,100 x 50 x 8.0,0,0,0,0,0,0,8.97,0,100,50,8.0,0,0,8.00,4.00,0,0,0,0,0,3.60,1.13,0,0,0,0,0,116,19.7,123,12.8,3.19,1.31,3.28,1.06,18.2,5.08,0,0,0,0,0,0.258,0,0,0,0,2.61,0,0,3.30,4.80,8.61,0,11.4
100,50,6.0,100 x 50,100 x 50 x 6.0,0,0,0,0,0,0,6.84,0,100,50,6.0,0,0,8.00,4.00,0,0,0,0,0,3.51,1.05,0,0,0,0,0,89.9,15.4,95.4,9.92,3.21,1.33,3.31,1.07,13.8,3.89,0,0,0,0,0,0.262,0,0,0,0,1.14,0,0,4.38,6.52,11.60,0,8.71
80,60,7.0,80 x 60,80 x 60 x 7.0,0,0,0,0,0,0,7.36,0,80,60,7.0,0,0,8.00,4.00,0,0,0,0,0,2.51,1.52,0,0,0,0,0,59.0,28.4,72.0,15.4,2.51,1.74,2.77,1.28,10.7,6.34,0,0,0,0,0,0.546,0,0,0,0,1.66,0,0,2.92,3.72,4.78,0,9.38
80,40,8.0,80 x 40,80 x 40 x 8.0,0,0,0,0,0,0,7.07,0,80,40,8.0,0,0,7.00,3.50,0,0,0,0,0,2.94,0.963,0,0,0,0,0,57.6,9.61,60.9,6.34,2.53,1.03,2.60,0.838,11.4,3.16,0,0,0,0,0,0.253,0,0,0,0,2.05,0,0,2.61,3.73,6.85,0,9.01
80,40,6.0,80 x 40,80 x 40 x 6.0,0,0,0,0,0,0,5.41,0,80,40,6.0,0,0,7.00,3.50,0,0,0,0,0,2.85,0.884,0,0,0,0,0,44.9,7.59,47.6,4.93,2.55,1.05,2.63,0.845,8.73,2.44,0,0,0,0,0,0.258,0,0,0,0,0.899,0,0,3.48,5.12,9.22,0,6.89
75,50,8.0,75 x 50,75 x 50 x 8.0,0,0,0,0,0,0,7.39,0,75,50,8.0,0,0,7.00,3.50,0,0,0,0,0,2.52,1.29,0,0,0,0,0,52.0,18.4,59.6,10.8,2.35,1.40,2.52,1.07,10.4,4.95,0,0,0,0,0,0.430,0,0,0,0,2.14,0,0,2.36,3.18,4.92,0,9.41
75,50,6.0,75 x 50,75 x 50 x 6.0,0,0,0,0,0,0,5.65,0,75,50,6.0,0,0,7.00,3.50,0,0,0,0,0,2.44,1.21,0,0,0,0,0,40.5,14.4,46.6,8.36,2.37,1.42,2.55,1.08,8.01,3.81,0,0,0,0,0,0.435,0,0,0,0,0.935,0,0,3.18,4.34,6.60,0,7.19
70,50,6.0,70 x 50,70 x 50 x 6.0,0,0,0,0,0,0,5.41,0,70,50,6.0,0,0,7.00,3.50,0,0,0,0,0,2.23,1.25,0,0,0,0,0,33.4,14.2,39.7,7.92,2.20,1.44,2.40,1.07,7.01,3.78,0,0,0,0,0,0.500,0,0,0,0,0.899,0,0,2.96,3.89,5.44,0,6.89
65,50,5.0,65 x 50,65 x 50 x 5.0,0,0,0,0,0,0,4.35,0,65,50,5.0,0,0,6.00,3.00,0,0,0,0,0,1.99,1.25,0,0,0,0,0,23.2,11.9,28.8,6.32,2.05,1.47,2.28,1.07,5.14,3.19,0,0,0,0,0,0.577,0,0,0,0,0.498,0,0,3.38,4.26,5.08,0,5.54
60,40,6.0,60 x 40,60 x 40 x 6.0,0,0,0,0,0,0,4.46,0,60,40,6.0,0,0,6.00,3.00,0,0,0,0,0,2.00,1.01,0,0,0,0,0,20.1,7.12,23.1,4.16,1.88,1.12,2.02,0.855,5.03,2.38,0,0,0,0,0,0.431,0,0,0,0,0.735,0,0,2.51,3.39,5.26,0,5.68
60,40,5.0,60 x 40,60 x 40 x 5.0,0,0,0,0,0,0,3.76,0,60,40,5.0,0,0,6.00,3.00,0,0,0,0,0,1.96,0.972,0,0,0,0,0,17.2,6.11,19.7,3.54,1.89,1.13,2.03,0.860,4.25,2.02,0,0,0,0,0,0.434,0,0,0,0,0.435,0,0,3.02,4.11,6.34,0,4.79
60,30,5.0,60 x 30,60 x 30 x 5.0,0,0,0,0,0,0,3.36,0,60,30,5.0,0,0,5.00,2.50,0,0,0,0,0,2.17,0.684,0,0,0,0,0,15.6,2.63,16.5,1.71,1.91,0.784,1.97,0.633,4.07,1.14,0,0,0,0,0,0.257,0,0,0,0,0.382,0,0,3.15,4.56,8.26,0,4.28
50,30,5.0,50 x 30,50 x 30 x 5.0,0,0,0,0,0,0,2.96,0,50,30,5.0,0,0,5.00,2.50,0,0,0,0,0,1.73,0.741,0,0,0,0,0,9.36,2.51,10.3,1.54,1.57,0.815,1.65,0.639,2.86,1.11,0,0,0,0,0,0.352,0,0,0,0,0.340,0,0,2.51,3.52,5.99,0,3.78
45,30,4.0,45 x 30,45 x 30 x 4.0,0,0,0,0,0,0,2.25,0,45,30,4.0,0,0,4.50,2.25,0,0,0,0,0,1.48,0.740,0,0,0,0,0,5.78,2.05,6.65,1.18,1.42,0.845,1.52,0.640,1.91,0.910,0,0,0,0,0,0.436,0,0,0,0,0.166,0,0,2.85,3.87,5.92,0,2.87
40,25,4.0,40 x 25,40 x 25 x 4.0,0,0,0,0,0,0,1.93,0,40,25,4.0,0,0,4.00,2.00,0,0,0,0,0,1.36,0.623,0,0,0,0,0,3.89,1.16,4.35,0.700,1.26,0.687,1.33,0.534,1.47,0.619,0,0,0,0,0,0.380,0,0,0,0,0.142,0,0,2.51,3.48,5.75,0,2.46
40,20,4.0,40 x 20,40 x 20 x 4.0,0,0,0,0,0,0,1.77,0,40,20,4.0,0,0,4.00,2.00,0,0,0,0,0,1.47,0.480,0,0,0,0,0,3.59,0.600,3.80,0.393,1.26,0.515,1.30,0.417,1.42,0.393,0,0,0,0,0,0.252,0,0,0,0,0.131,0,0,2.57,3.68,6.86,0,2.26
30,20,4.0,30 x 20,30 x 20 x 4.0,0,0,0,0,0,0,1.46,0,30,20,4.0,0,0,4.00,2.00,0,0,0,0,0,1.03,0.541,0,0,0,0,0,1.59,0.553,1.81,0.330,0.925,0.545,0.988,0.421,0.807,0.379,0,0,0,0,0,0.421,0,0,0,0,0.110,0,0,1.79,2.39,3.95,0,1.86
30,20,3.0,30 x 20,30 x 20 x 3.0,0,0,0,0,0,0,1.12,0,30,20,3.0,0,0,4.00,2.00,0,0,0,0,0,0.990,0.502,0,0,0,0,0,1.25,0.437,1.43,0.256,0.935,0.553,1.00,0.424,0.621,0.292,0,0,0,0,0,0.427,0,0,0,0,0.0490,0,0,2.40,3.28,5.31,0,1.43
