First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
50,50,3.0,50 x 50,50 x 50 x 3.0,N/A,N/A,4.25,N/A,50,50,N/A,3.0,3.0,N/A,N/A,N/A,N/A,13.7,13.7,N/A,N/A,N/A,N/A,N/A,N/A,0.190,44.7,19.5,19.5,N/A,N/A,1.90,1.90,N/A,N/A,7.79,7.79,N/A,N/A,N/A,9.39,9.39,N/A,N/A,N/A,N/A,N/A,32.1,11.8,N/A,N/A,N/A,N/A,N/A,5.41
50,50,4.0,50 x 50,50 x 50 x 4.0,N/A,N/A,5.45,N/A,50,50,N/A,4.0,4.0,N/A,N/A,N/A,N/A,9.50,9.50,N/A,N/A,N/A,N/A,N/A,N/A,0.186,34.1,23.7,23.7,N/A,N/A,1.85,1.85,N/A,N/A,9.49,9.49,N/A,N/A,N/A,11.7,11.7,N/A,N/A,N/A,N/A,N/A,40.4,14.4,N/A,N/A,N/A,N/A,N/A,6.95
50,50,5.0,50 x 50,50 x 50 x 5.0,N/A,N/A,6.56,N/A,50,50,N/A,5.0,5.0,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.183,27.9,27.0,27.0,N/A,N/A,1.80,1.80,N/A,N/A,10.8,10.8,N/A,N/A,N/A,13.7,13.7,N/A,N/A,N/A,N/A,N/A,47.5,16.6,N/A,N/A,N/A,N/A,N/A,8.36
60,60,3.0,60 x 60,60 x 60 x 3.0,N/A,N/A,5.19,N/A,60,60,N/A,3.0,3.0,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.230,44.3,35.1,35.1,N/A,N/A,2.31,2.31,N/A,N/A,11.7,11.7,N/A,N/A,N/A,14.0,14.0,N/A,N/A,N/A,N/A,N/A,57.1,17.7,N/A,N/A,N/A,N/A,N/A,6.61
60,60,4.0,60 x 60,60 x 60 x 4.0,N/A,N/A,6.71,N/A,60,60,N/A,4.0,4.0,N/A,N/A,N/A,N/A,12.0,12.0,N/A,N/A,N/A,N/A,N/A,N/A,0.226,33.7,43.6,43.6,N/A,N/A,2.26,2.26,N/A,N/A,14.5,14.5,N/A,N/A,N/A,17.6,17.6,N/A,N/A,N/A,N/A,N/A,72.6,22.0,N/A,N/A,N/A,N/A,N/A,8.55
60,60,5.0,60 x 60,60 x 60 x 5.0,N/A,N/A,8.13,N/A,60,60,N/A,5.0,5.0,N/A,N/A,N/A,N/A,9.00,9.00,N/A,N/A,N/A,N/A,N/A,N/A,0.223,27.4,50.5,50.5,N/A,N/A,2.21,2.21,N/A,N/A,16.8,16.8,N/A,N/A,N/A,20.9,20.9,N/A,N/A,N/A,N/A,N/A,86.4,25.6,N/A,N/A,N/A,N/A,N/A,10.4
60,60,6.0,60 x 60,60 x 60 x 6.0,N/A,N/A,9.45,N/A,60,60,N/A,6.0,6.0,N/A,N/A,N/A,N/A,7.00,7.00,N/A,N/A,N/A,N/A,N/A,N/A,0.219,23.2,56.1,56.1,N/A,N/A,2.16,2.16,N/A,N/A,18.7,18.7,N/A,N/A,N/A,23.7,23.7,N/A,N/A,N/A,N/A,N/A,98.4,28.6,N/A,N/A,N/A,N/A,N/A,12.0
70,70,3.0,70 x 70,70 x 70 x 3.0,N/A,N/A,6.13,N/A,70,70,N/A,3.0,3.0,N/A,N/A,N/A,N/A,20.3,20.3,N/A,N/A,N/A,N/A,N/A,N/A,0.270,44.0,57.5,57.5,N/A,N/A,2.71,2.71,N/A,N/A,16.4,16.4,N/A,N/A,N/A,19.4,19.4,N/A,N/A,N/A,N/A,N/A,92.4,24.7,N/A,N/A,N/A,N/A,N/A,7.81
70,70,3.5,70 x 70,70 x 70 x 3.5,N/A,N/A,7.06,N/A,70,70,N/A,3.5,3.5,N/A,N/A,N/A,N/A,17.0,17.0,N/A,N/A,N/A,N/A,N/A,N/A,0.268,38.0,65.1,65.1,N/A,N/A,2.69,2.69,N/A,N/A,18.6,18.6,N/A,N/A,N/A,22.2,22.2,N/A,N/A,N/A,N/A,N/A,106,28.0,N/A,N/A,N/A,N/A,N/A,8.99
70,70,4.0,70 x 70,70 x 70 x 4.0,N/A,N/A,7.97,N/A,70,70,N/A,4.0,4.0,N/A,N/A,N/A,N/A,14.5,14.5,N/A,N/A,N/A,N/A,N/A,N/A,0.266,33.4,72.1,72.1,N/A,N/A,2.67,2.67,N/A,N/A,20.6,20.6,N/A,N/A,N/A,24.8,24.8,N/A,N/A,N/A,N/A,N/A,119,31.1,N/A,N/A,N/A,N/A,N/A,10.1
70,70,5.0,70 x 70,70 x 70 x 5.0,N/A,N/A,9.70,N/A,70,70,N/A,5.0,5.0,N/A,N/A,N/A,N/A,11.0,11.0,N/A,N/A,N/A,N/A,N/A,N/A,0.263,27.1,84.6,84.6,N/A,N/A,2.62,2.62,N/A,N/A,24.2,24.2,N/A,N/A,N/A,29.6,29.6,N/A,N/A,N/A,N/A,N/A,142,36.7,N/A,N/A,N/A,N/A,N/A,12.4
