First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,First Section Series Number Cross-Section is Cut From,Second Section Series Number Cross-Section is Cut From,Third Section Series Number Cross-Section is Cut From,Section Serial Number Cross-Section is Cut From,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
90,90,12.0,90 x 90,90 x 90 x 12.0,0,0,0,0,0,0,15.9,90,90,90,12.0,0,0,11.0,5.50,0,0,0,0,0,2.66,2.66,0,0,0,0,0,149,149,235,62.0,2.71,2.71,3.40,1.75,23.5,23.5,0,0,0,0,0,0,0,0,0,0,10.5,0,2.17,0,0,0,0,20.3
90,90,10.0,90 x 90,90 x 90 x 10.0,0,0,0,0,0,0,13.4,90,90,90,10.0,0,0,11.0,5.50,0,0,0,0,0,2.58,2.58,0,0,0,0,0,127,127,201,52.6,2.72,2.72,3.42,1.75,19.8,19.8,0,0,0,0,0,0,0,0,0,0,6.20,0,2.64,0,0,0,0,17.1
90,90,8.0,90 x 90,90 x 90 x 8.0,0,0,0,0,0,0,10.9,90,90,90,8.0,0,0,11.0,5.50,0,0,0,0,0,2.50,2.50,0,0,0,0,0,104,104,166,43.1,2.74,2.74,3.45,1.76,16.1,16.1,0,0,0,0,0,0,0,0,0,0,3.28,0,3.33,0,0,0,0,13.9
90,90,7.0,90 x 90,90 x 90 x 7.0,0,0,0,0,0,0,9.61,90,90,90,7.0,0,0,11.0,5.50,0,0,0,0,0,2.45,2.45,0,0,0,0,0,92.6,92.6,147,38.3,2.75,2.75,3.46,1.77,14.1,14.1,0,0,0,0,0,0,0,0,0,0,2.24,0,3.80,0,0,0,0,12.2
80,80,10.0,80 x 80,80 x 80 x 10.0,0,0,0,0,0,0,11.9,80,80,80,10.0,0,0,10.0,5.00,0,0,0,0,0,2.34,2.34,0,0,0,0,0,87.5,87.5,139,36.4,2.41,2.41,3.03,1.55,15.4,15.4,0,0,0,0,0,0,0,0,0,0,5.45,0,2.33,0,0,0,0,15.1
80,80,8.0,80 x 80,80 x 80 x 8.0,0,0,0,0,0,0,9.63,80,80,80,8.0,0,0,10.0,5.00,0,0,0,0,0,2.26,2.26,0,0,0,0,0,72.2,72.2,115,29.9,2.43,2.43,3.06,1.56,12.6,12.6,0,0,0,0,0,0,0,0,0,0,2.88,0,2.94,0,0,0,0,12.3
75,75,8.0,75 x 75,75 x 75 x 8.0,0,0,0,0,0,0,8.99,75,75,75,8.0,0,0,9.00,4.50,0,0,0,0,0,2.14,2.14,0,0,0,0,0,59.1,59.1,93.8,24.5,2.27,2.27,2.86,1.46,11.0,11.0,0,0,0,0,0,0,0,0,0,0,2.65,0,2.76,0,0,0,0,11.4
75,75,6.0,75 x 75,75 x 75 x 6.0,0,0,0,0,0,0,6.85,75,75,75,6.0,0,0,9.00,4.50,0,0,0,0,0,2.05,2.05,0,0,0,0,0,45.8,45.8,72.7,18.9,2.29,2.29,2.89,1.47,8.41,8.41,0,0,0,0,0,0,0,0,0,0,1.17,0,3.70,0,0,0,0,8.73
70,70,7.0,70 x 70,70 x 70 x 7.0,0,0,0,0,0,0,7.38,70,70,70,7.0,0,0,9.00,4.50,0,0,0,0,0,1.97,1.97,0,0,0,0,0,42.3,42.3,67.1,17.5,2.12,2.12,2.67,1.36,8.41,8.41,0,0,0,0,0,0,0,0,0,0,1.69,0,2.92,0,0,0,0,9.40
70,70,6.0,70 x 70,70 x 70 x 6.0,0,0,0,0,0,0,6.38,70,70,70,6.0,0,0,9.00,4.50,0,0,0,0,0,1.93,1.93,0,0,0,0,0,36.9,36.9,58.5,15.3,2.13,2.13,2.68,1.37,7.27,7.27,0,0,0,0,0,0,0,0,0,0,1.09,0,3.41,0,0,0,0,8.13
65,65,7.0,65 x 65,65 x 65 x 7.0,0,0,0,0,0,0,6.83,65,65,65,7.0,0,0,9.00,4.50,0,0,0,0,0,1.85,1.85,0,0,0,0,0,33.4,33.4,53.0,13.8,1.96,1.96,2.47,1.26,7.18,7.18,0,0,0,0,0,0,0,0,0,0,1.58,0,2.67,0,0,0,0,8.73
60,60,8.0,60 x 60,60 x 60 x 8.0,0,0,0,0,0,0,7.09,60,60,60,8.0,0,0,8.00,4.00,0,0,0,0,0,1.77,1.77,0,0,0,0,0,29.2,29.2,46.1,12.2,1.80,1.80,2.26,1.16,6.89,6.89,0,0,0,0,0,0,0,0,0,0,2.09,0,2.14,0,0,0,0,9.03
60,60,6.0,60 x 60,60 x 60 x 6.0,0,0,0,0,0,0,5.42,60,60,60,6.0,0,0,8.00,4.00,0,0,0,0,0,1.69,1.69,0,0,0,0,0,22.8,22.8,36.1,9.44,1.82,1.82,2.29,1.17,5.29,5.29,0,0,0,0,0,0,0,0,0,0,0.922,0,2.90,0,0,0,0,6.91
60,60,5.0,60 x 60,60 x 60 x 5.0,0,0,0,0,0,0,4.57,60,60,60,5.0,0,0,8.00,4.00,0,0,0,0,0,1.64,1.64,0,0,0,0,0,19.4,19.4,30.7,8.03,1.82,1.82,2.30,1.17,4.45,4.45,0,0,0,0,0,0,0,0,0,0,0.550,0,3.48,0,0,0,0,5.82
