First Section Series Number,Second Section Series Number,Last Section Series Number,Section Serial Number,Full Section Designation,Cut from Universal Beams,Cut from Universal Columns,Mass Per Metre (kg/m),Leg Length [h] (mm),Depth of Section [h] (mm),Width of Section [b] (mm),Leg Thickness [t] (mm),Web Thickness [tw] (mm),Flange Thickness [tf] (mm),Root Radius [r1] (mm),Toe Radius [r2] (mm),Depth between Fillets [d] (mm),Ratio for local Buckling [d/t],Ratio for Local Web Buckling [cw/tw] (mm),Ratio for Local Flange Buckling [cf/tf] (mm),Shear Centre from Web Centreline [e0] (cm),Centre of Gravity X-direction (cm),Centre of Gravity y-direction (cm),End Clearance [C] (mm),Dimension for Detailing Notch [N] (mm),Dimension for Detailing Notch [n] (mm),Surface Area per Metre (m2),Surface Area per Tonne (m2),Second Moment of Area yy axis Major [cm4],Second Moment of Area zz axis Minor [cm4],Second Moment of Area uu axis  [cm4],Second Moment of Area vv axis Minor [cm4],Radius of Gyration yy axis Major [cm],Radius of Gyration zz axis Minor [cm],Radius of Gyration uu axis Major [cm],Radius of Gyration vv axis Minor [cm],Elastic Modulus yy axis Major [cm3],Elastic Modulus zz axis Minor [cm3],Elastic Modulus Flange yy axis Major [cm3],Elastic Modulus Toe yy axis Major [cm3],Elastic Modulus Toe zz axis Minor [cm3],Plastic Modulus yy axis Major [cm3],Plastic Modulus zz axis Minor [cm3],Angle Axis yy to Axis uu Tanα,Buckling Parameter (U),Torsional Index (X),Warping Constant (Iw) [dm6],Warping Constant (Iw) [cm6],Torsional Constant (IT) [cm4],Torsional Constant (Wt) [cm3],Equivalent Slenderness Coefficient (ϕa),Equivalent Slenderness Coefficient Min.  (ϕa),Equivalent Slenderness Coefficient Max.  (ϕa),Mono-symmetry Index (ψa),Mono-symmetry Index (ψ),Area of Section [cm2]
88.9,4.0,N/A,88.9,88.9 x 4.0,N/A,N/A,8.38,N/A,88.9,88.9,N/A,4.0,4.0,N/A,N/A,N/A,22.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.279,33.3,96.3,96.3,N/A,N/A,3.00,3.00,N/A,N/A,21.7,21.7,N/A,N/A,N/A,28.9,28.9,N/A,N/A,N/A,N/A,N/A,193,43.3,N/A,N/A,N/A,N/A,N/A,10.7
88.9,5.0,N/A,88.9,88.9 x 5.0,N/A,N/A,10.3,N/A,88.9,88.9,N/A,5.0,5.0,N/A,N/A,N/A,17.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.279,27.1,116,116,N/A,N/A,2.97,2.97,N/A,N/A,26.2,26.2,N/A,N/A,N/A,35.2,35.2,N/A,N/A,N/A,N/A,N/A,233,52.4,N/A,N/A,N/A,N/A,N/A,13.2
88.9,6.3,N/A,88.9,88.9 x 6.3,N/A,N/A,12.8,N/A,88.9,88.9,N/A,6.3,6.3,N/A,N/A,N/A,14.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.279,21.8,140,140,N/A,N/A,2.93,2.93,N/A,N/A,31.5,31.5,N/A,N/A,N/A,43.1,43.1,N/A,N/A,N/A,N/A,N/A,280,63.1,N/A,N/A,N/A,N/A,N/A,16.3
114.3,3.0,N/A,114.3,114.3 x 3.0,N/A,N/A,8.23,N/A,114.3,114.3,N/A,3.0,3.0,N/A,N/A,N/A,38.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.359,43.6,163,163,N/A,N/A,3.94,3.94,N/A,N/A,28.4,28.4,N/A,N/A,N/A,37.2,37.2,N/A,N/A,N/A,N/A,N/A,325,56.9,N/A,N/A,N/A,N/A,N/A,10.5
114.3,3.5,N/A,114.3,114.3 x 3.5,N/A,N/A,9.56,N/A,114.3,114.3,N/A,3.5,3.5,N/A,N/A,N/A,32.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.359,37.6,187,187,N/A,N/A,3.92,3.92,N/A,N/A,32.7,32.7,N/A,N/A,N/A,43.0,43.0,N/A,N/A,N/A,N/A,N/A,374,65.5,N/A,N/A,N/A,N/A,N/A,12.2
114.3,4.0,N/A,114.3,114.3 x 4.0,N/A,N/A,10.9,N/A,114.3,114.3,N/A,4.0,4.0,N/A,N/A,N/A,28.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.359,32.9,211,211,N/A,N/A,3.90,3.90,N/A,N/A,36.9,36.9,N/A,N/A,N/A,48.7,48.7,N/A,N/A,N/A,N/A,N/A,422,73.9,N/A,N/A,N/A,N/A,N/A,13.9
114.3,5.0,N/A,114.3,114.3 x 5.0,N/A,N/A,13.5,N/A,114.3,114.3,N/A,5.0,5.0,N/A,N/A,N/A,22.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.359,26.6,257,257,N/A,N/A,3.87,3.87,N/A,N/A,45.0,45.0,N/A,N/A,N/A,59.8,59.8,N/A,N/A,N/A,N/A,N/A,514,89.9,N/A,N/A,N/A,N/A,N/A,17.2
114.3,6.0,N/A,114.3,114.3 x 6.0,N/A,N/A,16.0,N/A,114.3,114.3,N/A,6.0,6.0,N/A,N/A,N/A,19.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.359,22.4,300,300,N/A,N/A,3.83,3.83,N/A,N/A,52.5,52.5,N/A,N/A,N/A,70.4,70.4,N/A,N/A,N/A,N/A,N/A,600,105,N/A,N/A,N/A,N/A,N/A,20.4
114.3,6.3,N/A,114.3,114.3 x 6.3,N/A,N/A,16.8,N/A,114.3,114.3,N/A,6.3,6.3,N/A,N/A,N/A,18.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.359,21.4,313,313,N/A,N/A,3.82,3.82,N/A,N/A,54.7,54.7,N/A,N/A,N/A,73.6,73.6,N/A,N/A,N/A,N/A,N/A,625,109,N/A,N/A,N/A,N/A,N/A,21.4
139.7,3.0,N/A,139.7,139.7 x 3.0,N/A,N/A,10.1,N/A,139.7,139.7,N/A,3.0,3.0,N/A,N/A,N/A,46.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,43.5,301,301,N/A,N/A,4.83,4.83,N/A,N/A,43.1,43.1,N/A,N/A,N/A,56.1,56.1,N/A,N/A,N/A,N/A,N/A,602,86.2,N/A,N/A,N/A,N/A,N/A,12.9
139.7,4.0,N/A,139.7,139.7 x 4.0,N/A,N/A,13.4,N/A,139.7,139.7,N/A,4.0,4.0,N/A,N/A,N/A,34.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,32.8,393,393,N/A,N/A,4.80,4.80,N/A,N/A,56.2,56.2,N/A,N/A,N/A,73.7,73.7,N/A,N/A,N/A,N/A,N/A,786,112,N/A,N/A,N/A,N/A,N/A,17.1
139.7,5.0,N/A,139.7,139.7 x 5.0,N/A,N/A,16.6,N/A,139.7,139.7,N/A,5.0,5.0,N/A,N/A,N/A,27.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,26.4,481,481,N/A,N/A,4.77,4.77,N/A,N/A,68.8,68.8,N/A,N/A,N/A,90.8,90.8,N/A,N/A,N/A,N/A,N/A,961,138,N/A,N/A,N/A,N/A,N/A,21.2
139.7,6.0,N/A,139.7,139.7 x 6.0,N/A,N/A,19.8,N/A,139.7,139.7,N/A,6.0,6.0,N/A,N/A,N/A,23.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,22.2,564,564,N/A,N/A,4.73,4.73,N/A,N/A,80.8,80.8,N/A,N/A,N/A,107,107,N/A,N/A,N/A,N/A,N/A,1130,162,N/A,N/A,N/A,N/A,N/A,25.2
139.7,6.3,N/A,139.7,139.7 x 6.3,N/A,N/A,20.7,N/A,139.7,139.7,N/A,6.3,6.3,N/A,N/A,N/A,22.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,21.2,589,589,N/A,N/A,4.72,4.72,N/A,N/A,84.3,84.3,N/A,N/A,N/A,112,112,N/A,N/A,N/A,N/A,N/A,1180,169,N/A,N/A,N/A,N/A,N/A,26.4
139.7,8.0,N/A,139.7,139.7 x 8.0,N/A,N/A,26.0,N/A,139.7,139.7,N/A,8.0,8.0,N/A,N/A,N/A,17.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.439,16.9,720,720,N/A,N/A,4.66,4.66,N/A,N/A,103,103,N/A,N/A,N/A,139,139,N/A,N/A,N/A,N/A,N/A,1440,206,N/A,N/A,N/A,N/A,N/A,33.1
